geoid,name,B19013001,"B19013001, Error"
86000US02108,"02108",212664,73526
86000US02109,"02109",177500,20590
86000US02110,"02110",132239,81835
86000US02111,"02111",70865,18826
86000US02113,"02113",110321,8334
86000US02114,"02114",135057,14380
86000US02115,"02115",53398,7822
86000US02116,"02116",127309,15314
86000US02118,"02118",90142,9741
86000US02119,"02119",43255,8240
86000US02120,"02120",61472,11855
86000US02121,"02121",38565,7837
86000US02122,"02122",82945,7018
86000US02124,"02124",79168,8552
86000US02125,"02125",71810,8489
86000US02126,"02126",67206,8747
86000US02127,"02127",156373,8506
86000US02128,"02128",92079,4798
86000US02129,"02129",157192,7921
86000US02130,"02130",130533,9817
86000US02131,"02131",109237,5632
86000US02132,"02132",139545,13289
86000US02134,"02134",75317,9063
86000US02135,"02135",88208,3997
86000US02136,"02136",96862,8689
86000US02199,"02199",118367,54067
86000US02210,"02210",178833,32794
86000US02215,"02215",65827,12810
