geoid,name,B01002A000.5,"B01002A000.5, Error",B01002A001,"B01002A001, Error",B01002A002,"B01002A002, Error",B01002A003,"B01002A003, Error"
01000US,United States,,,42.4,0.1,41.3,0.1,43.6,0.1
16000US2507000,"Boston, MA",,,33.2,0.2,33.5,0.3,32.9,0.2
86000US02108,"02108",,,38.3,9.5,47.1,14.8,32.4,4.5
86000US02109,"02109",,,33.1,5,36.2,8.4,31.3,5.9
86000US02110,"02110",,,55.1,8.6,55,9.6,55.2,12.8
86000US02111,"02111",,,28,2.9,28.1,3.9,27.9,3.7
86000US02113,"02113",,,29,1.3,32.1,1.8,27.8,0.9
86000US02114,"02114",,,35,2.1,34.4,2.9,35.5,2.4
86000US02115,"02115",,,21.9,0.5,22.8,1.5,21.5,0.4
86000US02116,"02116",,,34.6,1.2,37,2.9,33,1.3
86000US02118,"02118",,,35.8,1.5,36.7,1.7,34.1,1.4
86000US02119,"02119",,,29.2,2.4,29.5,3,29,4.3
86000US02120,"02120",,,22.4,0.4,22.3,0.6,22.6,0.5
86000US02121,"02121",,,33.1,4.5,32.9,9.4,33.1,3.8
86000US02122,"02122",,,35.9,1.6,36.6,3.3,35.6,1.1
86000US02124,"02124",,,42.9,3.8,42.6,3.3,43.2,6.5
86000US02125,"02125",,,33.6,1.3,34.5,1.5,32.2,1.8
86000US02126,"02126",,,39.2,6.4,39.2,10.1,38.7,8.7
86000US02127,"02127",,,31.8,0.7,32,1.1,31.7,1.1
86000US02128,"02128",,,35.5,1.5,35.3,1.4,35.7,2.8
86000US02129,"02129",,,36.9,1.4,36.5,1.5,37.3,2.4
86000US02130,"02130",,,37.1,1.4,37,1.5,37.3,2.2
86000US02131,"02131",,,38.5,1.9,36.9,1.9,40.4,2.7
86000US02132,"02132",,,46.2,2.8,43.3,3.6,47.4,2.4
86000US02134,"02134",,,27.9,0.9,27.9,1.4,27.9,1
86000US02135,"02135",,,30.2,0.6,30.3,1.1,30.2,0.7
86000US02136,"02136",,,48.5,4.6,47.3,7,49.2,5.4
86000US02199,"02199",,,40.5,6.8,40.1,8,44.3,10.8
86000US02210,"02210",,,35.4,2.9,38,4.8,34.3,2.2
86000US02215,"02215",,,21.9,0.5,23.4,3,21.5,0.4
