geoid,name,B25003001,"B25003001, Error",B25003002,"B25003002, Error",B25003003,"B25003003, Error"
86000US02108,"02108",2008,284,1075,232,933,197
86000US02109,"02109",2066,282,682,137,1384,271
86000US02110,"02110",1225,241,815,214,410,132
86000US02111,"02111",3614,286,971,175,2643,308
86000US02113,"02113",4060,448,623,162,3437,466
86000US02114,"02114",7992,492,1820,314,6172,481
86000US02115,"02115",9899,666,1450,237,8449,637
86000US02116,"02116",11525,590,4007,444,7518,527
86000US02118,"02118",14185,676,4487,416,9698,675
86000US02119,"02119",11764,671,2886,398,8878,593
86000US02120,"02120",4564,369,542,136,4022,367
86000US02121,"02121",10363,707,2396,465,7967,570
86000US02122,"02122",9159,691,4000,447,5159,639
86000US02124,"02124",19987,866,8386,714,11601,866
86000US02125,"02125",13759,641,4841,533,8918,556
86000US02126,"02126",8862,550,3705,452,5157,481
86000US02127,"02127",17895,664,8023,580,9872,618
86000US02128,"02128",17619,753,5033,542,12586,817
86000US02129,"02129",9389,481,4661,397,4728,460
86000US02130,"02130",17928,792,8184,582,9744,710
86000US02131,"02131",12449,572,7095,537,5354,507
86000US02132,"02132",11110,653,7889,444,3221,505
86000US02134,"02134",8267,483,1089,175,7178,470
86000US02135,"02135",21072,788,4582,490,16490,718
86000US02136,"02136",13570,668,7250,626,6320,612
86000US02199,"02199",825,176,28,36,797,170
86000US02210,"02210",4306,354,994,171,3312,378
86000US02215,"02215",8232,640,701,117,7531,621
